PARi,air_temperature,soil_temperature,ambient_CO2,humidity,Wind,hour,DOY,t
639.6666666666667,13.5,5.199519052838329,360,0.61,6.0,12,351,0
639.6666666666667,14.3,5.274444369716801,360,0.57,6.0,13,351,1
392.7777777777778,17.1,5.3,360,0.64,6.0,14,351,2
246.8888888888889,14.2,5.274444369716801,360,0.64,6.0,15,351,3
89.77777777777777,12.8,5.199519052838329,360,0.67,6.0,16,351,4
11.222222222222221,12.1,5.08033008588991,360,0.71,6.0,17,351,5
0.0,11.4,4.925,360,0.71,6.0,18,351,6
0.0,10.4,4.744114283826891,360,0.75,6.0,19,351,7
0.0,10.0,4.55,360,0.77,6.0,20,351,8
0.0,9.4,4.355885716173109,360,0.8,6.0,21,351,9
0.0,9.7,4.175,360,0.78,8.0,22,351,10
0.0,9.3,4.019669914110089,360,0.82,8.0,23,351,11
0.0,8.7,3.900480947161671,360,0.84,8.0,24,351,12
0.0,8.7,5.022148212912106,360,0.84,10.0,1,352,13
0.0,8.5,5.0,360,0.84,8.251580318478938,2,352,14
0.0,8.4,5.022148212912106,360,0.84,8.0,3,352,15
0.0,8.6,5.087083487540115,360,0.84,8.251580318478938,4,352,16
0.0,8.7,5.1903805922287445,360,0.82,8.251580318478938,5,352,17
0.0,8.5,5.325,360,0.84,8.251580318478938,6,352,18
0.0,8.6,5.481767620683362,360,0.84,10.0,7,352,19
11.222222222222221,8.8,5.65,360,0.84,8.251580318478938,8,352,20
67.33333333333334,9.3,5.818232379316639,360,0.85,8.251580318478938,9,352,21
145.88888888888889,10.3,5.9750000000000005,360,0.84,8.0,10,352,22
336.66666666666663,12.3,6.109619407771256,360,0.82,8.0,11,352,23
359.1111111111111,13.2,6.212916512459885,360,0.77,8.251580318478938,12,352,24
303.0,13.0,6.2778517870878945,360,0.82,10.0,13,352,25
168.33333333333331,12.8,6.300000000000001,360,0.8,8.251580318478938,14,352,26
112.22222222222223,12.5,6.2778517870878945,360,0.8,8.0,15,352,27
33.66666666666667,11.2,6.212916512459885,360,0.84,6.0,16,352,28
0.0,10.9,6.109619407771256,360,0.86,6.0,17,352,29
0.0,10.3,5.9750000000000005,360,0.87,6.0,18,352,30
0.0,9.3,5.818232379316639,360,0.9,4.0,19,352,31
0.0,9.5,5.65,360,0.9,6.0,20,352,32
0.0,9.1,5.481767620683362,360,0.91,6.0,21,352,33
0.0,9.1,5.325,360,0.91,6.0,22,352,34
0.0,9.4,5.1903805922287445,360,0.92,5.0,23,352,35
0.0,9.4,5.087083487540116,360,0.93,6.0,24,352,36
0.0,9.3,6.223851921597653,360,1.0,6.0,1,353,37
0.0,9.1,6.200000000000001,360,1.0,6.0,2,353,38
0.0,8.8,6.223851921597653,360,1.0,4.0,3,353,39
