t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
0,1,b'T1',NA,False,0.00000000,5.84000000,NA,4,1670.85866047,1670.85866047,NA,7,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T2',NA,False,0.00000000,5.84000000,NA,5,1670.85866047,1670.85866047,NA,6,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T3',NA,False,0.00000000,5.84000000,NA,6,1670.85866047,1670.85866047,NA,5,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,b'T4',NA,False,0.00000000,5.84000000,NA,7,1670.85866047,1670.85866047,NA,4,NA,vegetative,0.23206370,NA,NA,1670.85866047
0,1,MS,0.00000000,False,0.00000000,5.84000000,NA,1,1670.85866047,1670.85866047,0.05410729,10,0.00000000,vegetative,0.23206370,0.00100000,0.00000000,1670.85866047
1,1,b'T1',NA,False,0.00000000,6.26400000,NA,4,1792.16757692,1792.16757692,NA,7,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T2',NA,False,0.00000000,6.26400000,NA,5,1792.16757692,1792.16757692,NA,6,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T3',NA,False,0.00000000,6.26400000,NA,6,1792.16757692,1792.16757692,NA,5,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,b'T4',NA,False,0.00000000,6.26400000,NA,7,1792.16757692,1792.16757692,NA,4,NA,vegetative,0.48097587,NA,NA,3463.02623739
1,1,MS,0.00000000,False,0.00000000,6.26400000,0.00084029,1,1792.16757692,1792.16757692,0.05450322,10,0.00000000,vegetative,0.48097587,0.25135991,0.77408053,3463.02623739
2,1,b'T1',NA,False,0.00000000,5.41500000,NA,4,1549.26363809,1549.26363809,NA,7,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T2',NA,False,0.00000000,5.41500000,NA,5,1549.26363809,1549.26363809,NA,6,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T3',NA,False,0.00000000,5.41500000,NA,6,1549.26363809,1549.26363809,NA,5,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,b'T4',NA,False,0.00000000,5.41500000,NA,7,1549.26363809,1549.26363809,NA,4,NA,vegetative,0.69615137,NA,NA,5012.28987548
2,1,MS,0.00000000,False,0.00000000,5.41500000,0.00053111,1,1549.26363809,1549.26363809,0.05455915,10,0.00000000,vegetative,0.69615137,0.22601773,0.61056570,5012.28987548
3,1,b'T1',NA,False,0.00000000,6.22300000,NA,4,1780.43723358,1780.43723358,NA,7,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T2',NA,False,0.00000000,6.22300000,NA,5,1780.43723358,1780.43723358,NA,6,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T3',NA,False,0.00000000,6.22300000,NA,6,1780.43723358,1780.43723358,NA,5,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,b'T4',NA,False,0.00000000,6.22300000,NA,7,1780.43723358,1780.43723358,NA,4,NA,vegetative,0.94343432,NA,NA,6792.72710906
3,1,MS,0.00000000,False,0.00000000,6.22300000,0.00016939,1,1780.43723358,1780.43723358,0.05462277,10,0.00000000,vegetative,0.94343432,0.23414653,0.40378311,6792.72710906
4,1,b'T1',NA,False,0.00000000,5.95700000,NA,4,1704.33305487,1704.33305487,NA,7,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T2',NA,False,0.00000000,5.95700000,NA,5,1704.33305487,1704.33305487,NA,6,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T3',NA,False,0.00000000,5.95700000,NA,6,1704.33305487,1704.33305487,NA,5,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,b'T4',NA,False,0.00000000,5.95700000,NA,7,1704.33305487,1704.33305487,NA,4,NA,vegetative,1.18014724,NA,NA,8497.06016393
4,1,MS,0.00000000,False,0.00000000,5.95700000,0.00002729,1,1704.33305487,1704.33305487,0.05468308,10,0.00000000,vegetative,1.18014724,0.22402324,0.32165024,8497.06016393
5,1,b'T1',NA,False,0.00000000,5.73300000,NA,4,1640.24532543,1640.24532543,NA,7,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T2',NA,False,0.00000000,5.73300000,NA,5,1640.24532543,1640.24532543,NA,6,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T3',NA,False,0.00000000,5.73300000,NA,6,1640.24532543,1640.24532543,NA,5,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,b'T4',NA,False,0.00000000,5.73300000,NA,7,1640.24532543,1640.24532543,NA,4,NA,vegetative,1.40795910,NA,NA,10137.30548935
5,1,MS,0.00000000,False,0.00000000,5.73300000,0.00000935,1,1640.24532543,1640.24532543,0.05474059,10,0.00000000,vegetative,1.40795910,0.21572281,0.30541202,10137.30548935
6,1,b'T1',NA,False,0.00000000,5.59000000,NA,4,1599.33217672,1599.33217672,NA,7,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T2',NA,False,0.00000000,5.59000000,NA,5,1599.33217672,1599.33217672,NA,6,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T3',NA,False,0.00000000,5.59000000,NA,6,1599.33217672,1599.33217672,NA,5,NA,vegetative,1.63008856,NA,NA,11736.63766607
6,1,b'T4',NA,False,0.00000000,5.59000000,NA,7,1599.33217672,1599.33217672,NA,4,NA,vegetative,1.63008856,NA,NA,11736.63766607
