t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA
0,1,MS,roots,0.02002061,NA,NA,NA,NA,NA,NA,0.00017248,NA,NA,NA,NA,NA,NA,NA,0.69137825,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,2.17051312,8.60000000,0.00005606,0.03445606,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,199.88574592,2.00766633,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02508177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.75270923,NA,NA
1,1,MS,roots,0.02147097,0.00000000,0.26020351,0.32997758,0.04339775,1.07597666,0.00000000,0.00017278,NA,0.07588903,0.10817125,NA,NA,NA,0.06221560,0.74146433,1.11042982,NA,0.98153438,NA,NA,14.25275612,0.00000000,-453.49117294,0.27247167,NA,1.91147883,8.59052272,0.00006012,0.03451618,21.81640953,NA,0.00000000,0.00084029,0.00000000,NA,NA,176.44126038,2.15310934,0.24627588
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70819292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.45931397,NA,NA
2,1,MS,roots,0.01827978,0.00000000,0.15241084,0.20858115,0.02744263,1.00361364,0.00000000,0.00017303,NA,0.07029169,0.09572337,NA,NA,NA,0.05639964,0.63126185,1.02700512,NA,0.90957253,NA,NA,14.13096480,0.00000000,-284.67301662,0.24111679,NA,1.77140772,8.59457710,0.00005118,0.03456736,21.81826704,NA,0.00000000,0.00053111,0.00000000,NA,NA,161.59305215,1.83309668,0.22241470
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04841875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.69730263,NA,NA
3,1,MS,roots,0.02073448,0.00000000,0.04776825,0.06697050,0.00877789,1.07269355,0.00000000,0.00017332,NA,0.07503523,0.09804399,NA,NA,NA,0.05802983,0.71603085,1.09447300,NA,0.97078300,NA,NA,14.12103000,0.00000000,-185.27873153,0.24696220,NA,1.74073844,8.61946054,0.00005806,0.03462542,21.96444393,NA,0.00000000,0.00016939,0.00000000,NA,NA,150.90782897,2.07925406,0.23110906
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22043816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.27691637,NA,NA
4,1,MS,roots,0.01962186,0.00000000,0.00773907,0.01088212,0.00141941,1.04493070,0.00000000,0.00017360,NA,0.07315982,0.09215672,NA,NA,NA,0.05601443,0.67760836,1.06542747,NA,0.94598272,NA,NA,14.15035183,0.00000000,-130.40449988,0.23213278,NA,1.75043841,8.65088129,0.00005494,0.03468036,22.15204242,NA,0.00000000,0.00002729,0.00000000,NA,NA,142.72917199,1.96768049,0.22133097
