t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12.00000000,NA,428571.00000000,1
1,1,MS,428500.95449917,6.26400000,0.00244379,428500.95449917,1
2,1,MS,428439.45179448,5.41500000,0.00227375,428439.45179448,1
3,1,MS,428376.72823840,6.22300000,0.00243531,428376.72823840,1
4,1,MS,428317.87165046,5.95700000,0.00238100,428317.87165046,1
5,1,MS,428262.24361282,5.73300000,0.00233613,428262.24361282,1
6,1,MS,428209.04053757,5.59000000,0.00230788,428209.04053757,1
7,1,MS,428157.77074153,5.51100000,0.00229242,428157.77074153,1
8,1,MS,428108.01628200,5.48000000,0.00228637,428108.01628200,1
9,1,MS,428059.59832556,5.45500000,0.00228151,428059.59832556,1
10,1,MS,428012.34626850,5.45000000,0.00228054,428012.34626850,1
11,1,MS,427966.08537270,5.46600000,0.00228365,427966.08537270,1
12,1,MS,427920.90461289,5.44500000,0.00227957,427920.90461289,1
13,1,MS,427876.86344756,5.38500000,0.00226794,427876.86344756,1
14,1,MS,427833.83351426,5.34600000,0.00226041,427833.83351426,1
15,1,MS,427791.61937612,5.34700000,0.00226061,427791.61937612,1
16,1,MS,427750.00408102,5.40100000,0.00227104,427750.00408102,1
17,1,MS,427708.85302084,5.48900000,0.00228812,427708.85302084,1
18,1,MS,427668.07598930,5.60000000,0.00230985,427668.07598930,1
19,1,MS,427627.66719823,5.71200000,0.00233196,427627.66719823,1
20,1,MS,427587.57144085,5.84000000,0.00235746,427587.57144085,1
21,1,MS,427547.68271139,6.00100000,0.00238991,427547.68271139,1
22,1,MS,427507.86480376,6.20300000,0.00243119,427507.86480376,1
23,1,MS,427468.02261771,6.43300000,0.00247899,427468.02261771,1
24,1,MS,427428.27825074,6.62600000,0.00251976,427428.27825074,1
25,1,MS,427388.78534332,6.77300000,0.00255122,427388.78534332,1
26,1,MS,427349.46867459,6.93100000,0.00258544,427349.46867459,1
27,1,MS,427310.13696210,7.14000000,0.00263135,427310.13696210,1
28,1,MS,427270.96610016,7.30500000,0.00266811,427270.96610016,1
29,1,MS,427232.09293838,7.42500000,0.00269514,427232.09293838,1
30,1,MS,427193.66459391,7.50000000,0.00271217,427193.66459391,1
31,1,MS,427155.70503601,7.57000000,0.00272814,427155.70503601,1
32,1,MS,427118.53375550,7.53500000,0.00272014,427118.53375550,1
33,1,MS,427081.87379499,7.59000000,0.00273272,427081.87379499,1
34,1,MS,427046.09503213,7.52000000,0.00271672,427046.09503213,1
35,1,MS,427011.40957934,7.36500000,0.00268160,427011.40957934,1
36,1,MS,426977.19185327,7.43000000,0.00269628,426977.19185327,1
37,1,MS,426943.35126618,7.53000000,0.00271900,426943.35126618,1
38,1,MS,426910.31590560,7.46500000,0.00270421,426910.31590560,1
39,1,MS,426878.71422420,7.16000000,0.00263578,426878.71422420,1
40,1,MS,426848.05311737,7.01500000,0.00260380,426848.05311737,1
41,1,MS,426817.89400521,7.03500000,0.00260819,426817.89400521,1
42,1,MS,426788.38748626,6.99600000,0.00259964,426788.38748626,1
43,1,MS,426759.60033543,6.92800000,0.00258479,426759.60033543,1
44,1,MS,426731.82735463,6.72700000,0.00254134,426731.82735463,1
45,1,MS,426705.24922724,6.38100000,0.00246811,426705.24922724,1
46,1,MS,426679.14788754,6.25000000,0.00244089,426679.14788754,1
47,1,MS,426652.57507714,6.45200000,0.00248298,426652.57507714,1
48,1,MS,426624.98232172,6.75600000,0.00254757,426624.98232172,1
49,1,MS,426595.92512553,7.07500000,0.00261699,426595.92512553,1
50,1,MS,426565.62490393,7.19500000,0.00264355,426565.62490393,1
51,1,MS,426534.35053103,7.13500000,0.00263024,426534.35053103,1
52,1,MS,426502.35934546,7.03800000,0.00260885,426502.35934546,1
53,1,MS,426470.31465760,6.73600000,0.00254327,426470.31465760,1
54,1,MS,426438.56473669,6.37100000,0.00246602,426438.56473669,1
55,1,MS,426406.93928253,6.14300000,0.00241886,426406.93928253,1
56,1,MS,426375.53629560,5.92200000,0.00237394,426375.53629560,1
57,1,MS,426344.20545836,5.79200000,0.00234787,426344.20545836,1
58,1,MS,426312.90665057,5.71100000,0.00233176,426312.90665057,1
59,1,MS,426281.58844094,5.68600000,0.00232681,426281.58844094,1
60,1,MS,426250.29299514,5.67500000,0.00232463,426250.29299514,1
61,1,MS,426219.20155514,5.62100000,0.00231398,426219.20155514,1
62,1,MS,426188.44186940,5.53500000,0.00229710,426188.44186940,1
63,1,MS,426158.08535135,5.43300000,0.00227724,426158.08535135,1
64,1,MS,426128.10346789,5.35100000,0.00226138,426128.10346789,1
65,1,MS,426098.44580340,5.29800000,0.00225118,426098.44580340,1
66,1,MS,426069.12729725,5.24600000,0.00224122,426069.12729725,1
67,1,MS,426040.21251284,5.17400000,0.00222749,426040.21251284,1
68,1,MS,426011.74741418,5.08700000,0.00221100,426011.74741418,1
69,1,MS,425983.73892573,4.99800000,0.00219425,425983.73892573,1
70,1,MS,425956.07596030,4.94800000,0.00218490,425956.07596030,1
71,1,MS,425928.56465927,4.96700000,0.00218845,425928.56465927,1
72,1,MS,425900.85703274,5.11400000,0.00221611,425900.85703274,1
73,1,MS,425872.72841799,5.32800000,0.00225695,425872.72841799,1
74,1,MS,425844.34965937,5.43500000,0.00227762,425844.34965937,1
75,1,MS,425815.88250417,5.44200000,0.00227898,425815.88250417,1
76,1,MS,425787.69631236,5.25600000,0.00224313,425787.69631236,1
77,1,MS,425760.23480217,4.89800000,0.00217557,425760.23480217,1
78,1,MS,425733.75821581,4.39500000,0.00208380,425733.75821581,1
79,1,MS,425708.18824793,3.92600000,0.00200143,425708.18824793,1
80,1,MS,425683.32107267,3.53700000,0.00193538,425683.32107267,1
81,1,MS,425659.12219371,3.16000000,0.00187329,425659.12219371,1
82,1,MS,425635.45596086,2.84700000,0.00182312,425635.45596086,1
83,1,MS,425612.19263185,2.60500000,0.00178518,425612.19263185,1
84,1,MS,425589.06034100,2.49400000,0.00176803,425589.06034100,1
85,1,MS,425565.94803828,2.45700000,0.00176234,425565.94803828,1
86,1,MS,425542.91056243,2.40300000,0.00175407,425542.91056243,1
87,1,MS,425519.95406303,2.35400000,0.00174660,425519.95406303,1
88,1,MS,425497.10161741,2.30300000,0.00173885,425497.10161741,1
89,1,MS,425474.39794828,2.24100000,0.00172948,425474.39794828,1
90,1,MS,425451.83436993,2.17900000,0.00172015,425451.83436993,1
91,1,MS,425429.37691453,2.14300000,0.00171476,425429.37691453,1
92,1,MS,425407.10843534,2.07000000,0.00170386,425407.10843534,1
93,1,MS,425385.00353447,1.98800000,0.00169171,425385.00353447,1
94,1,MS,425362.87086894,1.93200000,0.00168345,425362.87086894,1
95,1,MS,425340.40472654,1.92100000,0.00168183,425340.40472654,1
96,1,MS,425317.10503954,2.04400000,0.00170000,425317.10503954,1
97,1,MS,425292.04064799,2.51600000,0.00177141,425292.04064799,1
98,1,MS,425265.19460095,2.92600000,0.00183567,425265.19460095,1
99,1,MS,425236.77566185,3.18900000,0.00187800,425236.77566185,1
100,1,MS,425207.46888230,3.18100000,0.00187670,425207.46888230,1
101,1,MS,425178.12384294,2.89100000,0.00183010,425178.12384294,1
102,1,MS,425148.81669017,2.60100000,0.00178456,425148.81669017,1
103,1,MS,425119.83528193,2.25000000,0.00173084,425119.83528193,1
104,1,MS,425090.74094618,2.09800000,0.00170804,425090.74094618,1
105,1,MS,425061.41345282,2.02300000,0.00169689,425061.41345282,1
106,1,MS,425031.93883584,1.94600000,0.00168551,425031.93883584,1
107,1,MS,425002.43425240,1.84900000,0.00167128,425002.43425240,1
108,1,MS,424972.86151158,1.78700000,0.00166224,424972.86151158,1
109,1,MS,424943.21678552,1.74200000,0.00165570,424943.21678552,1
110,1,MS,424913.48323168,1.72500000,0.00165324,424913.48323168,1
111,1,MS,424883.66596016,1.72000000,0.00165252,424883.66596016,1
112,1,MS,424853.87307992,1.68200000,0.00164703,424853.87307992,1
113,1,MS,424824.10824535,1.65400000,0.00164300,424824.10824535,1
114,1,MS,424794.31117693,1.65600000,0.00164328,424794.31117693,1
