sum_dry_mass_laminae,sum_dry_mass_roots,sum_C_g,Cont_WSC_DM_shoot,mstruct_stem,mstruct,sum_dry_mass_stem,N_content_mstruct_roots,sum_dry_mass_shoot,N_content_mstruct,N_content_mstruct_shoot,sum_respi_roots,sum_N_g_shoot,plant,Tillers_Photosynthesis_An,Total_Transpiration,C_respired_shoot,NS_shoot,C_N_ratio_shoot,N_content_roots,C_N_ratio,mstruct_shoot,NS_laminae,axis,C_respired_roots,NS_stem,sum_NSC_g,C_exudated,Tillers_Photosynthesis,NS,sum_dry_mass,Cont_WSC_DM,sum_N_g,mstruct_laminae,dry_mass_phloem,sum_respi_shoot,NNI,Cont_WSC_DM_stem,senesced_mstruct,Total_Photosynthesis,N_content,NS_roots,t,N_content_total_DM_shoot,shoot_roots_ratio,Cont_WSC_DM_roots,Cont_WSC_DM_laminae,shoot_roots_mstruct_ratio,N_content_shoot
0.02250638,0.04172554,0.03154867,11.402562232198292,0.00659749,0.05410729,0.01057309,1.47881652,0.03307947,3.51382687,7.07084359,0.00100000,0.00139385,1,27.75741838,NA,0.04695254,40.40801980,9.97509626,1.22117510,16.57492878,0.01971271,41.72665751,MS,0.69237825,37.60110452,0.00774146,0.00000000,0.00000000,27.58670638,0.07480501,12.676862821182844,0.00190340,0.01311522,0.00000000,0.00000000,0.95764903,14.826965967563618,0.00000000,0.00000000,2.54447777,17.42213506,0.00000000,4.21365571,0.79278706,13.687111833912692,9.79383968100656,0.57211155,4.21365571
0.02223207,0.04310991,0.03214542,10.560951215841358,0.00687184,0.05450322,0.01089612,1.59207330,0.03312819,3.57995234,7.01287298,0.25135991,0.00140167,1,28.55393365,0.00084029,0.84072868,39.66752038,9.93659692,1.27470192,16.47477532,0.01998706,41.00765523,MS,0.99282424,36.93315539,0.00816400,0.00000000,28.50287498,28.50918856,0.07623811,13.426598060817547,0.00195119,0.01311522,0.00319977,0.77408053,0.96160004,12.692240813537348,0.00000000,28.50287498,2.55933698,19.93447007,1.00000000,4.23104016,0.76845882,15.62872964932752,9.516388596874195,0.57906350,4.23104016
0.02246525,0.04334221,0.03239893,11.5588010523395,0.00687657,0.05455915,0.01103386,1.60242920,0.03349911,3.58256978,7.00638687,0.22601773,0.00140070,1,22.73665301,0.00053111,0.66729052,40.32143243,10.05494985,1.27800924,16.57556632,0.01999179,41.61998125,MS,0.85727958,37.67754911,0.00839290,0.00000000,22.67705157,28.99764410,0.07684132,14.00304551017523,0.00195462,0.01311522,0.00417651,0.61056570,0.95029803,13.527064626745494,0.00000000,22.67705157,2.54370895,20.24551001,2.00000000,4.18131132,0.77289807,15.892197323338433,10.592084288714295,0.57834298,4.18131132
0.02253845,0.04347285,0.03252882,12.060916863704627,0.00688212,0.05462277,0.01114589,1.61404519,0.03368435,3.58484998,6.99730016,0.23414653,0.00139927,1,12.30014824,0.00016939,0.47019102,40.63311917,10.12122188,1.28556087,16.61206521,0.01999734,41.80958477,MS,0.95017738,38.25415135,0.00849480,0.00000000,12.26799652,29.20586833,0.07715719,14.25009287627945,0.00195814,0.01311522,0.00476145,0.40378311,0.94410883,14.216438557011973,0.00000000,12.26799652,2.53786341,20.35161845,3.00000000,4.15407885,0.77483640,15.946346130859116,10.994951565948558,0.57753364,4.15407885
0.02246315,0.04351101,0.03254003,12.066847207547909,0.00688752,0.05468308,0.01121847,1.62473890,0.03368162,3.58692892,6.98893650,0.22402324,0.00139798,1,2.00856558,0.00002729,0.38570207,40.61231773,10.13016096,1.29499479,16.58983609,0.02000274,41.61452163,MS,0.90163160,38.60556780,0.00847948,0.00000000,2.24081743,29.16021422,0.07719263,14.192975967334279,0.00196144,0.01311522,0.00508157,0.32165024,0.94331077,14.623017802670812,0.00000000,2.24081743,2.54097276,20.29520660,4.00000000,4.15056741,0.77409426,15.838800041063209,10.790253592438068,0.57677415,4.15056741
0.02239858,0.04349858,0.03252506,12.028483881024755,0.00689270,0.05474059,0.01126858,1.63305831,0.03366716,3.58884721,6.98399224,0.21572281,0.00139735,1,0.00000000,0.00000935,0.36730995,40.57140045,10.13051594,1.30396184,16.55593118,0.02000792,41.44618741,MS,0.86107885,38.83258516,0.00843920,0.00000000,0.00000000,29.06100525,0.07716574,14.071748589002775,0.00196456,0.01311522,0.00525271,0.30541202,0.94329290,14.864172946849846,0.00000000,0.00000000,2.54589213,20.15215670,5.00000000,4.15048878,0.77398286,15.653200444416854,10.601866675370228,0.57605460,4.15048878
0.02236108,0.04346850,0.03251045,12.028069268473098,0.00689775,0.05479619,0.01130967,1.63981075,0.03367075,3.59063865,6.98124184,0.20970754,0.00139715,1,0.00000000,0.00000628,0.36581203,40.56272612,10.13310747,1.31216583,16.52346053,0.02001297,41.34799356,MS,0.83290859,39.01012362,0.00840013,0.00000000,0.00000000,28.96458632,0.07713925,13.954076594456074,0.00196753,0.01311522,0.00535134,0.30528935,0.94305905,15.038703499938382,0.00000000,0.00000000,2.55062502,19.98065453,6.00000000,4.14945983,0.77460110,15.44596397852393,10.50536592775585,0.57536308,4.14945983
0.02233635,0.04343237,0.03249605,12.037866967169993,0.00690274,0.05485056,0.01134413,1.64554135,0.03368048,3.59230295,6.97979561,0.20518241,0.00139721,1,0.00000000,0.00000319,0.36803164,40.56508049,10.13564752,1.31971683,16.49212941,0.02001796,41.28306881,MS,0.81396666,39.15137631,0.00836180,0.00000000,0.00000000,28.86978748,0.07711285,13.838596735657967,0.00197040,0.01311522,0.00540751,0.30823174,0.94282634,15.163754136993443,0.00000000,0.00000000,2.55521272,19.80044521,7.00000000,4.14843591,0.77546944,15.235007634159341,10.450299693447676,0.57469101,4.14843591
0.02231781,0.04339530,0.03248181,12.046477193317603,0.00690773,0.05490421,0.01137342,1.65052488,0.03369123,3.59386181,6.97927533,0.20187189,0.00139746,1,0.00000000,0.00000319,0.36717218,40.56923776,10.13711346,1.32669527,16.46165234,0.02002295,41.23428243,MS,0.80194265,39.26423573,0.00832396,0.00000000,0.00000000,28.77590229,0.07708653,13.724483767947476,0.00197318,0.01311522,0.00543760,0.30759585,0.94269012,15.251134222182,0.00000000,0.00000000,2.55969565,19.61979573,8.00000000,4.14783653,0.77637973,15.027254051491386,10.413345570816771,0.57403237,4.14783653
0.02230174,0.04335888,0.03246759,12.049572637454132,0.00691271,0.05495721,0.01139933,1.65490675,0.03370107,3.59532984,6.97947920,0.19896363,0.00139785,1,0.00000000,0.00000330,0.37689693,40.57181738,10.13722740,1.33316761,16.43186279,0.02002794,41.19193995,MS,0.79125083,39.35860510,0.00828642,0.00000000,0.00000000,28.68255883,0.07705995,13.611247127568449,0.00197589,0.01311522,0.00545036,0.31748917,0.94267674,15.310576466090511,0.00000000,0.00000000,2.56409725,19.44152713,9.00000000,4.14777764,0.77725887,14.825072480870746,10.382739786319375,0.57338577,4.14777764
