t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12.00000000,1,428571.00000000,NA,NA
1,1,MS,6.26400000,1,428500.95449917,428500.95449917,0.00244379
2,1,MS,5.41500000,1,428439.45179448,428439.45179448,0.00227375
3,1,MS,6.22300000,1,428376.72823840,428376.72823840,0.00243531
4,1,MS,5.95700000,1,428317.87165046,428317.87165046,0.00238100
5,1,MS,5.73300000,1,428262.24361282,428262.24361282,0.00233613
6,1,MS,5.59000000,1,428209.04053757,428209.04053757,0.00230788
7,1,MS,5.51100000,1,428157.77074153,428157.77074153,0.00229242
8,1,MS,5.48000000,1,428108.01628200,428108.01628200,0.00228637
9,1,MS,5.45500000,1,428059.59832556,428059.59832556,0.00228151
10,1,MS,5.45000000,1,428012.34626850,428012.34626850,0.00228054
11,1,MS,5.46600000,1,427966.08537270,427966.08537270,0.00228365
12,1,MS,5.44500000,1,427920.90461289,427920.90461289,0.00227957
13,1,MS,5.38500000,1,427876.86344756,427876.86344756,0.00226794
14,1,MS,5.34600000,1,427833.83351426,427833.83351426,0.00226041
15,1,MS,5.34700000,1,427791.61937612,427791.61937612,0.00226061
16,1,MS,5.40100000,1,427750.00408102,427750.00408102,0.00227104
17,1,MS,5.48900000,1,427708.85302084,427708.85302084,0.00228812
18,1,MS,5.60000000,1,427668.07598930,427668.07598930,0.00230985
19,1,MS,5.71200000,1,427627.66719823,427627.66719823,0.00233196
20,1,MS,5.84000000,1,427587.57144085,427587.57144085,0.00235746
21,1,MS,6.00100000,1,427547.68271139,427547.68271139,0.00238991
22,1,MS,6.20300000,1,427507.86480376,427507.86480376,0.00243119
23,1,MS,6.43300000,1,427468.02261771,427468.02261771,0.00247899
24,1,MS,6.62600000,1,427428.27825074,427428.27825074,0.00251976
25,1,MS,6.77300000,1,427388.78534332,427388.78534332,0.00255122
26,1,MS,6.93100000,1,427349.46867459,427349.46867459,0.00258544
27,1,MS,7.14000000,1,427310.13696210,427310.13696210,0.00263135
28,1,MS,7.30500000,1,427270.96610016,427270.96610016,0.00266811
29,1,MS,7.42500000,1,427232.09293838,427232.09293838,0.00269514
30,1,MS,7.50000000,1,427193.66459391,427193.66459391,0.00271217
31,1,MS,7.57000000,1,427155.70503601,427155.70503601,0.00272814
32,1,MS,7.53500000,1,427118.53375550,427118.53375550,0.00272014
33,1,MS,7.59000000,1,427081.87379499,427081.87379499,0.00273272
34,1,MS,7.52000000,1,427046.09503213,427046.09503213,0.00271672
35,1,MS,7.36500000,1,427011.40957934,427011.40957934,0.00268160
36,1,MS,7.43000000,1,426977.19185327,426977.19185327,0.00269628
37,1,MS,7.53000000,1,426943.35126618,426943.35126618,0.00271900
38,1,MS,7.46500000,1,426910.31590560,426910.31590560,0.00270421
39,1,MS,7.16000000,1,426878.71422420,426878.71422420,0.00263578
40,1,MS,7.01500000,1,426848.05311737,426848.05311737,0.00260380
41,1,MS,7.03500000,1,426817.89400521,426817.89400521,0.00260819
42,1,MS,6.99600000,1,426788.38748626,426788.38748626,0.00259964
43,1,MS,6.92800000,1,426759.60033543,426759.60033543,0.00258479
44,1,MS,6.72700000,1,426731.82735463,426731.82735463,0.00254134
45,1,MS,6.38100000,1,426705.24922724,426705.24922724,0.00246811
46,1,MS,6.25000000,1,426679.14788754,426679.14788754,0.00244089
47,1,MS,6.45200000,1,426652.57507714,426652.57507714,0.00248298
48,1,MS,6.75600000,1,426624.98232172,426624.98232172,0.00254757
49,1,MS,7.07500000,1,426595.92512553,426595.92512553,0.00261699
50,1,MS,7.19500000,1,426565.62490393,426565.62490393,0.00264355
51,1,MS,7.13500000,1,426534.35053103,426534.35053103,0.00263024
52,1,MS,7.03800000,1,426502.35934546,426502.35934546,0.00260885
53,1,MS,6.73600000,1,426470.31465760,426470.31465760,0.00254327
54,1,MS,6.37100000,1,426438.56473669,426438.56473669,0.00246602
55,1,MS,6.14300000,1,426406.93928253,426406.93928253,0.00241886
56,1,MS,5.92200000,1,426375.53629560,426375.53629560,0.00237394
57,1,MS,5.79200000,1,426344.20545836,426344.20545836,0.00234787
58,1,MS,5.71100000,1,426312.90665057,426312.90665057,0.00233176
59,1,MS,5.68600000,1,426281.58844094,426281.58844094,0.00232681
60,1,MS,5.67500000,1,426250.29299514,426250.29299514,0.00232463
61,1,MS,5.62100000,1,426219.20155514,426219.20155514,0.00231398
62,1,MS,5.53500000,1,426188.44186940,426188.44186940,0.00229710
63,1,MS,5.43300000,1,426158.08535135,426158.08535135,0.00227724
64,1,MS,5.35100000,1,426128.10346789,426128.10346789,0.00226138
65,1,MS,5.29800000,1,426098.44580340,426098.44580340,0.00225118
66,1,MS,5.24600000,1,426069.12729725,426069.12729725,0.00224122
67,1,MS,5.17400000,1,426040.21251284,426040.21251284,0.00222749
68,1,MS,5.08700000,1,426011.74741418,426011.74741418,0.00221100
69,1,MS,4.99800000,1,425983.73892573,425983.73892573,0.00219425
70,1,MS,4.94800000,1,425956.07596030,425956.07596030,0.00218490
71,1,MS,4.96700000,1,425928.56465927,425928.56465927,0.00218845
72,1,MS,5.11400000,1,425900.85703274,425900.85703274,0.00221611
73,1,MS,5.32800000,1,425872.72841799,425872.72841799,0.00225695
74,1,MS,5.43500000,1,425844.34965937,425844.34965937,0.00227762
75,1,MS,5.44200000,1,425815.88250417,425815.88250417,0.00227898
76,1,MS,5.25600000,1,425787.69631236,425787.69631236,0.00224313
77,1,MS,4.89800000,1,425760.23480217,425760.23480217,0.00217557
78,1,MS,4.39500000,1,425733.75821581,425733.75821581,0.00208380
79,1,MS,3.92600000,1,425708.18824793,425708.18824793,0.00200143
80,1,MS,3.53700000,1,425683.32107267,425683.32107267,0.00193538
81,1,MS,3.16000000,1,425659.12219371,425659.12219371,0.00187329
82,1,MS,2.84700000,1,425635.45596086,425635.45596086,0.00182312
83,1,MS,2.60500000,1,425612.19263185,425612.19263185,0.00178518
84,1,MS,2.49400000,1,425589.06034100,425589.06034100,0.00176803
