PARi,air_temperature,soil_temperature,ambient_CO2,humidity,Wind,hour,DOY,t
235.66666666666669,9.0,10.35932667397366,360,0.79,10.0,12,351,0
460.11111111111114,9.1,10.464222117603521,360,0.67,12.0,13,351,1
437.6666666666667,9.0,10.5,360,0.67,10.0,14,351,2
179.55555555555554,6.8,10.464222117603521,360,0.79,13.0,15,351,3
123.44444444444446,6.9,10.35932667397366,360,0.7,12.0,16,351,4
0.0,6.2,10.192462120245875,360,0.8,9.0,17,351,5
0.0,6.2,9.975,360,0.82,8.0,18,351,6
0.0,4.7,9.721759997357646,360,0.98,8.0,19,351,7
0.0,5.9,9.45,360,0.86,14.0,20,351,8
0.0,3.2,9.178240002642353,360,0.99,11.0,21,351,9
0.0,3.2,8.924999999999999,360,0.99,4.0,22,351,10
0.0,3.0,8.707537879754124,360,1.0,7.0,23,351,11
0.0,2.4,8.540673326026338,360,1.0,6.0,24,351,12
0.0,2.5,6.617037086855466,360,1.0,6.0,1,352,13
0.0,2.8,6.6,360,1.0,6.0,2,352,14
0.0,2.9,6.617037086855466,360,1.0,5.0,3,352,15
0.0,3.8,6.66698729810778,360,1.0,6.0,4,352,16
0.0,3.6,6.746446609406726,360,1.0,7.0,5,352,17
0.0,2.8,6.85,360,1.0,5.0,6,352,18
0.0,1.9,6.97059047744874,360,1.0,4.0,7,352,19
11.222222222222221,2.1,7.1,360,1.0,4.0,8,352,20
78.55555555555554,2.6,7.22940952255126,360,1.0,4.0,9,352,21
336.66666666666663,4.8,7.35,360,1.0,4.0,10,352,22
505.0,6.9,7.453553390593274,360,0.85,4.0,11,352,23
617.2222222222222,7.1,7.533012701892219,360,0.89,5.0,12,352,24
505.0,7.5,7.5829629131445335,360,0.76,6.0,13,352,25
404.0,6.9,7.6,360,0.83,6.0,14,352,26
336.66666666666663,7.5,7.5829629131445335,360,0.74,6.0,15,352,27
101.0,5.9,7.533012701892219,360,0.78,4.0,16,352,28
0.0,4.7,7.453553390593274,360,0.85,3.0,17,352,29
0.0,4.0,7.35,360,0.92,10.0,18,352,30
0.0,2.7,7.22940952255126,360,0.98,4.0,19,352,31
0.0,1.9,7.1,360,1.0,2.0,20,352,32
0.0,1.6,6.97059047744874,360,1.0,2.0,21,352,33
0.0,1.4,6.85,360,1.0,4.0,22,352,34
0.0,1.2,6.746446609406726,360,1.0,4.0,23,352,35
0.0,0.8,6.66698729810778,360,1.0,4.0,24,352,36
0.0,0.4,5.217037086855466,360,1.0,3.0,1,353,37
0.0,0.1,5.2,360,1.0,4.0,2,353,38
0.0,0.0,5.217037086855466,360,1.0,4.0,3,353,39
0.0,-0.1,5.2669872981077805,360,1.0,3.0,4,353,40
0.0,-0.2,5.346446609406726,360,1.0,4.0,5,353,41
0.0,-0.5,5.45,360,1.0,3.0,6,353,42
0.0,-0.5,5.57059047744874,360,1.0,3.0,7,353,43
11.222222222222221,-0.3,5.7,360,1.0,2.0,8,353,44
123.44444444444446,0.6,5.829409522551261,360,1.0,3.0,9,353,45
448.8888888888889,3.1,5.95,360,0.92,2.0,10,353,46
606.0,4.7,6.053553390593274,360,0.8,3.0,11,353,47
639.6666666666667,5.8,6.13301270189222,360,0.73,4.0,12,353,48
673.3333333333333,6.6,6.182962913144534,360,0.71,5.0,13,353,49
628.4444444444443,6.6,6.2,360,0.68,4.0,14,353,50
359.1111111111111,6.3,6.182962913144534,360,0.69,5.0,15,353,51
134.66666666666669,4.9,6.13301270189222,360,0.76,4.0,16,353,52
0.0,2.3,6.053553390593274,360,0.96,2.0,17,353,53
0.0,3.0,5.95,360,0.9,4.0,18,353,54
0.0,1.8,5.829409522551261,360,0.98,3.0,19,353,55
0.0,2.1,5.7,360,1.0,4.0,20,353,56
0.0,1.9,5.57059047744874,360,0.98,4.0,21,353,57
0.0,1.7,5.45,360,0.99,4.0,22,353,58
0.0,2.1,5.346446609406726,360,0.98,4.0,23,353,59
0.0,2.0,5.2669872981077805,360,0.99,4.0,24,353,60
0.0,2.2,5.037481591082025,360,1.0,5.0,1,354,61
0.0,2.0,5.0,360,1.0,6.0,2,354,62
0.0,1.7,5.037481591082024,360,1.0,4.0,3,354,63
0.0,1.8,5.147372055837117,360,1.0,4.0,4,354,64
0.0,1.9,5.322182540694797,360,1.0,4.0,5,354,65
0.0,1.8,5.549999999999999,360,1.0,4.0,6,354,66
0.0,1.4,5.815299050387227,360,1.0,2.0,7,354,67
11.222222222222221,0.8,6.1,360,1.0,2.0,8,354,68
168.33333333333331,1.7,6.384700949612773,360,1.0,3.0,9,354,69
347.8888888888889,3.7,6.6499999999999995,360,1.0,3.0,10,354,70
482.5555555555556,5.4,6.877817459305202,360,0.93,2.0,11,354,71
370.33333333333337,5.5,7.052627944162882,360,0.99,4.0,12,354,72
359.1111111111111,6.2,7.162518408917975,360,0.92,4.0,13,354,73
190.77777777777777,6.2,7.199999999999999,360,0.91,4.0,14,354,74
78.55555555555554,5.6,7.162518408917975,360,1.0,5.0,15,354,75
22.444444444444443,5.3,7.052627944162882,360,1.0,4.0,16,354,76
0.0,5.2,6.877817459305202,360,1.0,4.0,17,354,77
0.0,5.1,6.6499999999999995,360,1.0,5.0,18,354,78
0.0,5.1,6.384700949612773,360,1.0,7.0,19,354,79
0.0,5.3,6.1,360,1.0,8.0,20,354,80
0.0,5.6,5.815299050387227,360,1.0,6.0,21,354,81
0.0,6.2,5.55,360,1.0,6.0,22,354,82
0.0,7.1,5.322182540694797,360,1.0,8.0,23,354,83
0.0,8.1,5.147372055837117,360,1.0,8.0,24,354,84
0.0,8.9,6.339185299767571,360,1.0,8.0,1,355,85
0.0,9.4,6.299999999999999,360,1.0,6.0,2,355,86
0.0,10.1,6.339185299767571,360,1.0,5.0,3,355,87
0.0,10.3,6.454070785647895,360,1.0,6.0,4,355,88
0.0,10.4,6.6368272016354695,360,1.0,6.0,5,355,89
0.0,10.0,6.874999999999999,360,1.0,4.0,6,355,90
0.0,9.9,7.1523580981321,360,1.0,4.0,7,355,91
0.0,9.9,7.449999999999999,360,1.0,4.0,8,355,92
67.33333333333334,10.0,7.747641901867898,360,1.0,4.0,9,355,93
134.66666666666669,10.3,8.024999999999999,360,1.0,4.0,10,355,94
145.88888888888889,9.8,8.26317279836453,360,1.0,5.0,11,355,95
303.0,10.3,8.445929214352104,360,0.93,7.0,12,355,96
347.8888888888889,10.4,8.560814700232427,360,0.87,6.0,13,355,97
336.66666666666663,10.3,8.6,360,0.73,8.0,14,355,98
246.8888888888889,10.1,8.560814700232427,360,0.76,7.0,15,355,99
67.33333333333334,9.6,8.445929214352104,360,0.8,5.0,16,355,100
0.0,9.2,8.26317279836453,360,0.83,4.0,17,355,101
0.0,8.9,8.024999999999999,360,0.88,2.0,18,355,102
0.0,8.3,7.747641901867898,360,0.93,4.0,19,355,103
0.0,8.2,7.449999999999999,360,0.99,3.0,20,355,104
0.0,8.2,7.1523580981321,360,0.99,3.0,21,355,105
0.0,8.1,6.875,360,1.0,3.0,22,355,106
0.0,7.6,6.6368272016354695,360,1.0,3.0,23,355,107
0.0,7.5,6.454070785647895,360,1.0,4.0,24,355,108
0.0,7.2,8.025555630283199,360,1.0,4.0,1,356,109
0.0,7.0,8.0,360,1.0,4.0,2,356,110
0.0,7.1,8.025555630283199,360,1.0,4.0,3,356,111
0.0,6.9,8.100480947161671,360,1.0,4.0,4,356,112
0.0,7.2,8.219669914110089,360,1.0,5.0,5,356,113
0.0,7.6,8.375,360,1.0,6.0,6,356,114
0.0,8.9,8.55588571617311,360,1.0,6.0,7,356,115
0.0,10.0,8.75,360,1.0,9.0,8,356,116
33.66666666666667,10.7,8.94411428382689,360,1.0,8.0,9,356,117
56.111111111111114,11.0,9.125,360,1.0,6.0,10,356,118
112.22222222222223,11.4,9.280330085889911,360,1.0,6.0,11,356,119
157.1111111111111,11.8,9.399519052838329,360,1.0,6.0,12,356,120
123.44444444444446,12.1,9.474444369716801,360,1.0,7.0,13,356,121
78.55555555555554,12.1,9.5,360,1.0,6.0,14,356,122
56.111111111111114,12.1,9.474444369716801,360,1.0,5.0,15,356,123
22.444444444444443,12.1,9.399519052838329,360,1.0,6.0,16,356,124
0.0,11.7,9.280330085889911,360,1.0,4.0,17,356,125
0.0,11.4,9.125,360,1.0,4.0,18,356,126
0.0,11.2,8.94411428382689,360,1.0,3.0,19,356,127
0.0,11.0,8.75,360,1.0,3.0,20,356,128
0.0,10.9,8.55588571617311,360,1.0,3.0,21,356,129
0.0,10.8,8.375,360,1.0,2.0,22,356,130
0.0,10.9,8.219669914110089,360,1.0,4.0,23,356,131
0.0,10.9,8.100480947161671,360,1.0,3.0,24,356,132
0.0,10.6,9.31533337816992,360,1.0,3.0,1,357,133
0.0,10.5,9.3,360,1.0,2.0,2,357,134
