PARi,air_temperature,soil_temperature,ambient_CO2,humidity,Wind,hour,DOY,t
639.6666666666667,12.0,7.13301270189222,360,0.79,2.0,12,351,0
639.6666666666667,13.8,7.182962913144534,360,0.72,3.0,13,351,1
505.0,13.6,7.2,360,0.74,2.0,14,351,2
325.44444444444446,12.6,7.182962913144534,360,0.79,2.0,15,351,3
101.0,10.5,7.13301270189222,360,0.82,1.0,16,351,4
0.0,8.5,7.053553390593274,360,0.85,1.0,17,351,5
0.0,7.3,6.95,360,0.9,0.0,18,351,6
0.0,6.3,6.829409522551261,360,0.91,0.0,19,351,7
0.0,6.3,6.7,360,0.92,0.0,20,351,8
0.0,5.0,6.57059047744874,360,0.93,1.0,21,351,9
0.0,5.8,6.45,360,0.93,1.0,22,351,10
0.0,5.3,6.346446609406726,360,0.93,1.0,23,351,11
0.0,4.1,6.2669872981077805,360,0.93,2.0,24,351,12
0.0,4.0,-0.5926663528105651,360,0.94,1.0,1,352,13
0.0,4.0,-0.7000000000000002,360,0.94,1.0,2,352,14
0.0,3.5,-0.5926663528105656,360,0.94,1.0,3,352,15
0.0,2.3,-0.27798002192098226,360,0.94,2.0,4,352,16
0.0,1.9,0.2226136392623741,360,0.94,1.0,5,352,17
0.0,1.9,0.8749999999999984,360,0.94,2.0,6,352,18
0.0,0.5,1.6347200079270596,360,0.94,2.0,7,352,19
0.0,0.7,2.4499999999999997,360,0.94,1.0,8,352,20
89.77777777777777,1.4,3.26527999207294,360,0.95,2.0,9,352,21
314.2222222222222,3.9,4.025,360,0.95,2.0,10,352,22
549.8888888888889,6.6,4.677386360737625,360,0.95,2.0,11,352,23
650.8888888888889,9.5,5.177980021920982,360,0.95,2.0,12,352,24
628.4444444444443,11.6,5.492666352810565,360,0.83,2.0,13,352,25
516.2222222222223,11.7,5.6,360,0.8,2.0,14,352,26
336.66666666666663,11.7,5.492666352810565,360,0.81,2.0,15,352,27
112.22222222222223,7.0,5.177980021920982,360,0.9,3.0,16,352,28
0.0,4.8,4.677386360737625,360,0.92,2.0,17,352,29
0.0,4.0,4.025,360,0.94,0.0,18,352,30
0.0,3.6,3.26527999207294,360,0.94,0.0,19,352,31
0.0,4.4,2.4499999999999997,360,0.94,0.0,20,352,32
0.0,4.2,1.6347200079270596,360,0.95,0.0,21,352,33
0.0,4.5,0.8750000000000004,360,0.95,0.0,22,352,34
0.0,4.2,0.22261363926237543,360,0.95,0.0,23,352,35
0.0,4.0,-0.27798002192098226,360,0.95,0.0,24,352,36
0.0,3.3,6.305111126056639,360,0.95,0.0,1,353,37
0.0,2.7,6.299999999999999,360,0.95,0.0,2,353,38
0.0,2.6,6.305111126056639,360,0.95,0.0,3,353,39
0.0,2.0,6.320096189432333,360,0.95,0.0,4,353,40
0.0,1.7,6.343933982822017,360,0.95,0.0,5,353,41
0.0,1.5,6.374999999999999,360,0.95,0.0,6,353,42
0.0,1.4,6.411177143234621,360,0.95,0.0,7,353,43
0.0,0.8,6.449999999999999,360,0.95,0.0,8,353,44
56.111111111111114,0.9,6.488822856765378,360,0.95,0.0,9,353,45
123.44444444444446,1.4,6.5249999999999995,360,0.95,0.0,10,353,46
179.55555555555554,1.8,6.556066017177981,360,0.95,0.0,11,353,47
202.0,2.3,6.579903810567665,360,0.95,0.0,12,353,48
190.77777777777777,2.1,6.5948888739433595,360,0.95,0.0,13,353,49
157.1111111111111,2.2,6.6,360,0.96,0.0,14,353,50
112.22222222222223,2.3,6.5948888739433595,360,0.96,0.0,15,353,51
33.66666666666667,2.0,6.579903810567665,360,0.96,0.0,16,353,52
0.0,1.9,6.556066017177981,360,0.96,0.0,17,353,53
0.0,2.0,6.5249999999999995,360,0.96,0.0,18,353,54
0.0,2.0,6.488822856765378,360,0.96,0.0,19,353,55
0.0,1.6,6.449999999999999,360,0.96,0.0,20,353,56
0.0,1.4,6.411177143234621,360,0.96,0.0,21,353,57
0.0,0.8,6.374999999999999,360,0.96,0.0,22,353,58
0.0,0.5,6.343933982822017,360,0.96,0.0,23,353,59
0.0,0.4,6.320096189432333,360,0.96,0.0,24,353,60
0.0,0.4,5.803407417371093,360,0.96,0.0,1,354,61
0.0,0.4,5.800000000000001,360,0.96,0.0,2,354,62
0.0,0.2,5.803407417371093,360,0.96,0.0,3,354,63
0.0,0.1,5.813397459621556,360,0.96,0.0,4,354,64
0.0,0.0,5.829289321881346,360,0.96,0.0,5,354,65
0.0,0.2,5.8500000000000005,360,0.96,0.0,6,354,66
0.0,0.2,5.874118095489748,360,0.96,0.0,7,354,67
11.222222222222221,0.3,5.9,360,0.96,0.0,8,354,68
11.222222222222221,0.4,5.925881904510253,360,0.96,0.0,9,354,69
44.888888888888886,0.6,5.95,360,0.96,0.0,10,354,70
78.55555555555554,0.8,5.970710678118655,360,0.96,0.0,11,354,71
101.0,1.4,5.986602540378445,360,0.96,0.0,12,354,72
112.22222222222223,1.8,5.9965925826289075,360,0.96,0.0,13,354,73
101.0,2.2,6.0,360,0.96,0.0,14,354,74
78.55555555555554,2.4,5.9965925826289075,360,0.96,0.0,15,354,75
22.444444444444443,2.4,5.986602540378445,360,0.95,0.0,16,354,76
0.0,2.4,5.970710678118655,360,0.95,0.0,17,354,77
0.0,2.6,5.95,360,0.93,0.0,18,354,78
0.0,2.7,5.925881904510253,360,0.92,0.0,19,354,79
0.0,2.7,5.9,360,0.92,0.0,20,354,80
