PARi,air_temperature,soil_temperature,ambient_CO2,humidity,Wind,hour,DOY,t
718.2222222222222,8.4,9.446410161513775,360,0.98,3.0,12,351,0
527.4444444444445,9.0,9.486370330515628,360,0.98,4.0,13,351,1
359.1111111111111,7.3,9.5,360,0.97,5.0,14,351,2
235.66666666666669,7.2,9.486370330515628,360,0.95,5.0,15,351,3
89.77777777777777,6.8,9.446410161513775,360,0.93,6.0,16,351,4
11.222222222222221,4.8,9.382842712474618,360,0.92,5.0,17,351,5
0.0,4.9,9.3,360,0.94,5.0,18,351,6
0.0,4.4,9.203527618041008,360,0.95,5.0,19,351,7
0.0,3.9,9.1,360,0.96,4.0,20,351,8
0.0,4.1,8.996472381958991,360,0.96,4.0,21,351,9
0.0,3.1,8.9,360,0.97,4.0,22,351,10
0.0,2.5,8.817157287525381,360,0.97,4.0,23,351,11
0.0,2.3,8.753589838486224,360,0.98,5.0,24,351,12
0.0,2.2,7.613629669484372,360,0.98,6.0,1,352,13
0.0,2.3,7.6,360,0.98,5.0,2,352,14
0.0,2.2,7.613629669484372,360,0.99,5.0,3,352,15
0.0,2.4,7.653589838486224,360,0.99,5.0,4,352,16
0.0,2.2,7.717157287525381,360,0.99,4.0,5,352,17
0.0,2.2,7.8,360,0.99,5.0,6,352,18
0.0,2.1,7.896472381958992,360,0.99,6.0,7,352,19
0.0,2.0,8.0,360,1.0,5.0,8,352,20
44.888888888888886,2.1,8.103527618041008,360,1.0,5.0,9,352,21
123.44444444444446,2.0,8.200000000000001,360,1.0,4.0,10,352,22
224.44444444444446,2.6,8.282842712474618,360,1.0,4.0,11,352,23
258.11111111111114,2.9,8.346410161513775,360,1.0,2.0,12,352,24
314.2222222222222,3.5,8.386370330515629,360,1.0,2.0,13,352,25
258.11111111111114,3.7,8.4,360,1.0,2.0,14,352,26
168.33333333333331,3.5,8.386370330515629,360,1.0,2.0,15,352,27
44.888888888888886,3.5,8.346410161513775,360,1.0,2.0,16,352,28
0.0,3.2,8.282842712474618,360,1.0,2.0,17,352,29
0.0,3.0,8.200000000000001,360,1.0,2.0,18,352,30
0.0,3.1,8.103527618041008,360,1.0,2.0,19,352,31
0.0,2.8,8.0,360,1.0,2.0,20,352,32
0.0,2.8,7.896472381958992,360,1.0,2.0,21,352,33
0.0,2.2,7.8,360,1.0,2.0,22,352,34
0.0,1.8,7.717157287525381,360,1.0,2.0,23,352,35
0.0,1.3,7.653589838486225,360,1.0,2.0,24,352,36
0.0,1.3,7.508518543427733,360,1.0,2.0,1,353,37
0.0,1.2,7.5,360,1.0,2.0,2,353,38
0.0,0.7,7.508518543427733,360,1.0,2.0,3,353,39
0.0,0.6,7.533493649053891,360,1.0,2.0,4,353,40
0.0,0.5,7.5732233047033635,360,1.0,2.0,5,353,41
0.0,0.6,7.625,360,1.0,2.0,6,353,42
0.0,0.8,7.68529523872437,360,1.0,1.0,7,353,43
11.222222222222221,0.7,7.75,360,1.0,2.0,8,353,44
56.111111111111114,1.1,7.81470476127563,360,1.0,2.0,9,353,45
145.88888888888889,1.3,7.875,360,1.0,2.0,10,353,46
213.22222222222223,1.9,7.9267766952966365,360,1.0,2.0,11,353,47
314.2222222222222,2.5,7.966506350946109,360,1.0,2.0,12,353,48
235.66666666666669,2.5,7.991481456572267,360,1.0,2.0,13,353,49
179.55555555555554,2.6,8.0,360,1.0,2.0,14,353,50
112.22222222222223,2.8,7.991481456572267,360,1.0,3.0,15,353,51
33.66666666666667,2.7,7.966506350946109,360,1.0,3.0,16,353,52
0.0,2.8,7.9267766952966365,360,1.0,3.0,17,353,53
0.0,2.1,7.875,360,1.0,3.0,18,353,54
0.0,1.1,7.81470476127563,360,1.0,5.0,19,353,55
0.0,1.4,7.75,360,1.0,2.0,20,353,56
0.0,1.5,7.68529523872437,360,1.0,2.0,21,353,57
0.0,1.7,7.625,360,1.0,2.0,22,353,58
0.0,1.8,7.5732233047033635,360,1.0,2.0,23,353,59
0.0,1.9,7.533493649053891,360,1.0,4.0,24,353,60
0.0,2.0,7.308518543427732,360,1.0,3.0,1,354,61
0.0,2.2,7.3,360,1.0,2.0,2,354,62
0.0,2.3,7.308518543427732,360,1.0,4.0,3,354,63
0.0,2.5,7.3334936490538905,360,1.0,3.0,4,354,64
0.0,2.7,7.373223304703362,360,1.0,4.0,5,354,65
0.0,2.8,7.425,360,1.0,3.0,6,354,66
0.0,2.8,7.48529523872437,360,1.0,4.0,7,354,67
0.0,3.0,7.55,360,1.0,4.0,8,354,68
22.444444444444443,3.3,7.61470476127563,360,1.0,4.0,9,354,69
56.111111111111114,3.7,7.675,360,1.0,5.0,10,354,70
101.0,4.2,7.726776695296636,360,1.0,6.0,11,354,71
123.44444444444446,4.6,7.766506350946109,360,0.99,5.0,12,354,72
123.44444444444446,5.0,7.791481456572267,360,0.99,4.0,13,354,73
78.55555555555554,5.3,7.8,360,0.99,5.0,14,354,74
179.55555555555554,5.3,7.791481456572267,360,0.98,6.0,15,354,75
67.33333333333334,5.5,7.766506350946109,360,0.98,6.0,16,354,76
0.0,5.5,7.726776695296636,360,0.98,7.0,17,354,77
0.0,5.7,7.675,360,0.97,7.0,18,354,78
0.0,5.8,7.61470476127563,360,0.97,8.0,19,354,79
0.0,5.7,7.55,360,0.97,9.0,20,354,80
0.0,6.1,7.48529523872437,360,0.97,8.0,21,354,81
0.0,6.4,7.425,360,0.98,6.0,22,354,82
0.0,7.1,7.373223304703363,360,0.98,5.0,23,354,83
0.0,7.7,7.3334936490538905,360,0.99,2.0,24,354,84
0.0,8.9,7.22044450422656,360,0.98,6.0,1,355,85
0.0,8.8,7.200000000000001,360,0.98,7.0,2,355,86
0.0,7.1,7.22044450422656,360,0.98,9.0,3,355,87
0.0,6.2,7.280384757729338,360,0.95,9.0,4,355,88
0.0,5.2,7.375735931288072,360,0.91,8.0,5,355,89
0.0,4.2,7.5,360,0.91,2.0,6,355,90
0.0,3.6,7.644708572938488,360,0.93,2.0,7,355,91
11.222222222222221,3.5,7.800000000000001,360,0.94,2.0,8,355,92
89.77777777777777,5.7,7.955291427061513,360,0.94,4.0,9,355,93
202.0,6.4,8.100000000000001,360,0.94,4.0,10,355,94
527.4444444444445,8.0,8.22426406871193,360,0.91,4.0,11,355,95
617.2222222222222,9.8,8.319615242270665,360,0.88,4.0,12,355,96
527.4444444444445,10.0,8.379555495773442,360,0.79,6.0,13,355,97
516.2222222222223,10.6,8.4,360,0.75,5.0,14,355,98
325.44444444444446,9.7,8.379555495773442,360,0.74,5.0,15,355,99
78.55555555555554,8.9,8.319615242270665,360,0.81,4.0,16,355,100
0.0,8.0,8.22426406871193,360,0.86,4.0,17,355,101
0.0,7.9,8.100000000000001,360,0.89,4.0,18,355,102
0.0,7.7,7.955291427061513,360,0.89,4.0,19,355,103
0.0,7.7,7.800000000000001,360,0.91,5.0,20,355,104
0.0,7.7,7.644708572938488,360,0.93,5.0,21,355,105
0.0,8.4,7.500000000000001,360,0.94,5.0,22,355,106
0.0,8.7,7.375735931288072,360,0.96,5.0,23,355,107
0.0,8.6,7.280384757729338,360,0.96,5.0,24,355,108
0.0,8.7,8.222148212912105,360,0.97,6.0,1,356,109
0.0,8.7,8.2,360,0.97,6.0,2,356,110
0.0,8.5,8.222148212912105,360,0.97,6.0,3,356,111
0.0,8.9,8.287083487540114,360,0.96,7.0,4,356,112
0.0,8.7,8.390380592228743,360,0.96,7.0,5,356,113
0.0,9.2,8.524999999999999,360,0.97,6.0,6,356,114
0.0,9.8,8.681767620683361,360,0.97,8.0,7,356,115
11.222222222222221,10.1,8.85,360,0.98,8.0,8,356,116
44.888888888888886,10.3,9.018232379316638,360,0.98,8.0,9,356,117
145.88888888888889,10.7,9.175,360,0.98,9.0,10,356,118
123.44444444444446,10.9,9.309619407771256,360,0.98,8.0,11,356,119
157.1111111111111,11.1,9.412916512459885,360,0.98,8.0,12,356,120
190.77777777777777,11.4,9.477851787087895,360,0.97,8.0,13,356,121
145.88888888888889,11.4,9.5,360,0.96,8.0,14,356,122
101.0,11.2,9.477851787087895,360,0.93,8.0,15,356,123
33.66666666666667,10.8,9.412916512459885,360,0.88,7.0,16,356,124
0.0,10.8,9.309619407771256,360,0.87,6.0,17,356,125
0.0,10.6,9.175,360,0.88,6.0,18,356,126
0.0,10.5,9.018232379316638,360,0.9,6.0,19,356,127
0.0,10.2,8.85,360,0.9,5.0,20,356,128
0.0,10.1,8.681767620683361,360,0.91,7.0,21,356,129
0.0,9.9,8.525,360,0.93,6.0,22,356,130
0.0,10.1,8.390380592228743,360,0.94,6.0,23,356,131
0.0,10.3,8.287083487540114,360,0.94,5.0,24,356,132
0.0,10.0,9.310222252113281,360,0.92,6.0,1,357,133
0.0,9.8,9.3,360,0.93,6.0,2,357,134
0.0,9.3,9.310222252113281,360,0.94,6.0,3,357,135
0.0,9.7,9.34019237886467,360,0.95,7.0,4,357,136
0.0,9.4,9.387867965644038,360,0.95,5.0,5,357,137
0.0,9.4,9.450000000000001,360,0.96,6.0,6,357,138
0.0,9.6,9.522354286469245,360,0.96,6.0,7,357,139
11.222222222222221,9.5,9.600000000000001,360,0.96,6.0,8,357,140
56.111111111111114,9.7,9.677645713530758,360,0.96,5.0,9,357,141
134.66666666666669,10.0,9.750000000000002,360,0.96,6.0,10,357,142
258.11111111111114,11.2,9.812132034355965,360,0.95,5.0,11,357,143
381.55555555555554,10.6,9.859807621135333,360,0.9,7.0,12,357,144
213.22222222222223,10.7,9.889777747886722,360,0.84,6.0,13,357,145
224.44444444444446,10.7,9.900000000000002,360,0.75,6.0,14,357,146
101.0,10.4,9.889777747886722,360,0.76,5.0,15,357,147
33.66666666666667,10.1,9.859807621135333,360,0.76,6.0,16,357,148
0.0,10.0,9.812132034355965,360,0.77,6.0,17,357,149
0.0,9.9,9.750000000000002,360,0.78,5.0,18,357,150
0.0,9.5,9.677645713530758,360,0.81,4.0,19,357,151
0.0,9.3,9.600000000000001,360,0.86,6.0,20,357,152
0.0,9.0,9.522354286469245,360,0.9,5.0,21,357,153
0.0,9.0,9.450000000000001,360,0.93,5.0,22,357,154
0.0,8.8,9.387867965644038,360,0.94,4.0,23,357,155
0.0,8.8,9.34019237886467,360,0.95,5.0,24,357,156
0.0,8.7,9.311925960798828,360,0.96,5.0,1,358,157
0.0,8.5,9.3,360,0.96,4.0,2,358,158
0.0,8.4,9.311925960798828,360,0.96,4.0,3,358,159
0.0,8.3,9.346891108675447,360,0.96,5.0,4,358,160
0.0,8.1,9.40251262658471,360,0.96,4.0,5,358,161
0.0,8.1,9.475,360,0.96,4.0,6,358,162
0.0,8.0,9.559413334214119,360,0.97,4.0,7,358,163
11.222222222222221,8.1,9.65,360,0.97,4.0,8,358,164
56.111111111111114,8.6,9.740586665785882,360,0.97,6.0,9,358,165
179.55555555555554,9.2,9.825000000000001,360,0.97,5.0,10,358,166
269.33333333333337,10.0,9.897487373415292,360,0.97,6.0,11,358,167
269.33333333333337,10.3,9.953108891324554,360,0.96,6.0,12,358,168
291.77777777777777,10.6,9.988074039201173,360,0.94,6.0,13,358,169
202.0,10.7,10.0,360,0.93,6.0,14,358,170
134.66666666666669,10.6,9.988074039201173,360,0.91,6.0,15,358,171
56.111111111111114,10.4,9.953108891324554,360,0.89,8.0,16,358,172
0.0,10.3,9.897487373415292,360,0.9,6.0,17,358,173
0.0,9.5,9.825000000000001,360,0.92,6.0,18,358,174
0.0,9.5,9.740586665785882,360,0.94,6.0,19,358,175
0.0,9.6,9.65,360,0.96,7.0,20,358,176
0.0,9.8,9.559413334214119,360,0.96,6.0,21,358,177
0.0,9.6,9.475000000000001,360,0.97,6.0,22,358,178
0.0,9.6,9.40251262658471,360,0.97,6.0,23,358,179
0.0,9.6,9.346891108675447,360,0.97,8.0,24,358,180
0.0,9.6,9.610222252113278,360,0.97,8.0,1,359,181
0.0,9.6,9.599999999999998,360,0.97,10.0,2,359,182
0.0,9.7,9.610222252113278,360,0.97,9.0,3,359,183
0.0,9.5,9.640192378864667,360,0.97,8.0,4,359,184
0.0,9.3,9.687867965644035,360,0.97,7.0,5,359,185
0.0,9.1,9.749999999999998,360,0.96,7.0,6,359,186
0.0,9.0,9.822354286469242,360,0.95,7.0,7,359,187
11.222222222222221,8.9,9.899999999999999,360,0.93,7.0,8,359,188
89.77777777777777,9.3,9.977645713530755,360,0.92,7.0,9,359,189
359.1111111111111,10.5,10.049999999999999,360,0.9,8.0,10,359,190
437.6666666666667,10.5,10.112132034355962,360,0.86,9.0,11,359,191
583.5555555555555,11.3,10.15980762113533,360,0.83,9.0,12,359,192
493.7777777777778,11.6,10.189777747886719,360,0.82,10.0,13,359,193
437.6666666666667,11.4,10.2,360,0.79,10.0,14,359,194
325.44444444444446,11.1,10.189777747886719,360,0.8,8.0,15,359,195
89.77777777777777,10.3,10.15980762113533,360,0.84,8.0,16,359,196
11.222222222222221,9.7,10.112132034355962,360,0.87,7.0,17,359,197
0.0,9.5,10.049999999999999,360,0.88,7.0,18,359,198
0.0,9.3,9.977645713530755,360,0.88,8.0,19,359,199
0.0,9.0,9.899999999999999,360,0.88,8.0,20,359,200
0.0,8.8,9.822354286469242,360,0.89,8.0,21,359,201
0.0,8.7,9.749999999999998,360,0.89,7.0,22,359,202
0.0,8.7,9.687867965644035,360,0.9,7.0,23,359,203
0.0,8.6,9.640192378864667,360,0.91,8.0,24,359,204
0.0,8.8,9.406814834742187,360,0.92,8.0,1,360,205
0.0,8.9,9.400000000000002,360,0.92,8.0,2,360,206
0.0,9.1,9.406814834742187,360,0.93,9.0,3,360,207
0.0,9.1,9.426794919243113,360,0.93,9.0,4,360,208
0.0,8.8,9.458578643762692,360,0.93,8.0,5,360,209
0.0,8.7,9.500000000000002,360,0.94,9.0,6,360,210
0.0,8.5,9.548236190979496,360,0.94,8.0,7,360,211
