Scenario,Simulation_length,Scenario_label,METEO_FILENAME
1,2500,DATA_ANNEECHAUDEAN,DATA_ANNEECHAUDEAN.csv
2,2500,DATA_ANNEECHAUDEPERIODE,DATA_ANNEECHAUDEPERIODE.csv
3,2500,DATA_ANNEECHAUDESAISON,DATA_ANNEECHAUDESAISON.csv
4,2500,DATA_ANNEEFROIDEAN,DATA_ANNEEFROIDEAN.csv
5,2500,DATA_ANNEEFROIDEPERIODE,DATA_ANNEEFROIDEPERIODE.csv
6,2500,DATA_ANNEEFROIDESAISON,DATA_ANNEEFROIDESAISON.csv
7,2500,DATA_AY,DATA_AY.csv
8,2500,DATA_DANISH,DATA_DANISH.csv
9,2500,DATA_DSY,DATA_DSY.csv
10,2500,DATA_EWY_CHAUD,DATA_EWY_CHAUD.csv
11,2500,DATA_EWY_FROID,DATA_EWY_FROID.csv
12,2500,DATA_FESTARATTO,DATA_FESTARATTO.csv
13,2500,DATA_HIST_2008,DATA_HIST_2008.csv
14,2500,DATA_HIST_2009,DATA_HIST_2009.csv
15,2500,DATA_HIST_2010,DATA_HIST_2010.csv
16,2500,DATA_HIST_2011,DATA_HIST_2011.csv
17,2500,DATA_HIST_2012,DATA_HIST_2012.csv
18,2500,DATA_HIST_2013,DATA_HIST_2013.csv
19,2500,DATA_HIST_2014,DATA_HIST_2014.csv
20,2500,DATA_HIST_2015,DATA_HIST_2015.csv
21,2500,DATA_HIST_2016,DATA_HIST_2016.csv
22,2500,DATA_HIST_2017,DATA_HIST_2017.csv
23,2500,DATA_HIST_2018,DATA_HIST_2018.csv
24,2500,DATA_HIST_2019,DATA_HIST_2019.csv
25,2500,DATA_HIST_2020,DATA_HIST_2020.csv
26,2500,DATA_HIST_2021,DATA_HIST_2021.csv
27,2500,DATA_HIST_2022,DATA_HIST_2022.csv
28,2500,DATA_HIST_2023,DATA_HIST_2023.csv
29,2500,DATA_HIST_2024,DATA_HIST_2024.csv
30,2500,DATA_NEWY_CHAUD,DATA_NEWY_CHAUD.csv
31,2500,DATA_NEWY_FROID,DATA_NEWY_FROID.csv
32,2500,DATA_TDWY,DATA_TDWY.csv
33,2500,DATA_TMY,DATA_TMY.csv
34,2500,DATA_WYEC,DATA_WYEC.csv
35,2500,DATA_XMY_CHAUD,DATA_XMY_CHAUD.csv
36,2500,DATA_XMY_FROID,DATA_XMY_FROID.csv
