Scenario,Simulation_length,Scenario_label,METEO_FILENAME
1,2500,DATA_AY,DATA_AY.csv
2,2500,DATA_DANISH,DATA_DANISH.csv
3,2500,DATA_FESTARATTO,DATA_FESTARATTO.csv
4,2500,DATA_HIST_2008,DATA_HIST.csv
5,2500,DATA_HIST_2009,DATA_HIST.csv
6,2500,DATA_HIST_2010,DATA_HIST.csv
7,2500,DATA_HIST_2011,DATA_HIST.csv
8,2500,DATA_HIST_2012,DATA_HIST.csv
9,2500,DATA_HIST_2013,DATA_HIST.csv
10,2500,DATA_HIST_2014,DATA_HIST.csv
11,2500,DATA_HIST_2015,DATA_HIST.csv
12,2500,DATA_HIST_2016,DATA_HIST.csv
13,2500,DATA_HIST_2017,DATA_HIST.csv
14,2500,DATA_HIST_2018,DATA_HIST.csv
15,2500,DATA_HIST_2019,DATA_HIST.csv
16,2500,DATA_HIST_2020,DATA_HIST.csv
17,2500,DATA_HIST_2021,DATA_HIST.csv
18,2500,DATA_HIST_2022,DATA_HIST.csv
19,2500,DATA_HIST_2023,DATA_HIST.csv
20,2500,DATA_HIST_2024,DATA_HIST.csv
21,2500,DATA_TDWY,DATA_TDWY.csv
22,2500,DATA_TMY,DATA_TMY.csv
23,2500,DATA_WYEC,DATA_WYEC.csv
